family,n,rep,gain,wins
strong,11,70,0.023873228552541925,3
strong,11,71,-0.05972647910380924,6
strong,11,72,-0.028101844378484397,5
strong,11,73,0.07748609780310689,0
strong,11,74,-0.0165810552709994,5
strong,11,75,-0.004172354207202189,6
strong,11,76,0.10469198824594739,1
strong,11,77,0.173167172306667,2
strong,11,78,0.11528269168028726,1
strong,11,79,0.1347966715863793,2
strong,11,80,0.06758291820417639,1
strong,11,81,0.03410132050125103,1
strong,11,82,0.05180117640363513,1
strong,11,83,0.010372298614569897,4
strong,11,84,0.23703518320136507,0
strong,11,85,0.11089110031547844,2
strong,11,86,0.0699736718452213,1
strong,11,87,0.09033763086327173,1
strong,11,88,0.1291273181661059,2
strong,11,89,-0.00844219542784741,4
strong,11,90,0.04260403218437647,2
strong,11,91,0.07692871005113167,2
strong,11,92,0.03505839943104305,3
strong,11,93,0.04643805783712618,3
strong,11,94,0.03183778399867576,2
